BGRI11,BGRI11_M1LABELS_LP_AdjMatGeoNetDist
01050100704,4.0
01100200904,123.0
01050300106,99.0
01050800203,36.0
01050100715,52.0
01050800111,97.0
01050100805,4.0
01050800109,97.0
01100200215,123.0
01100200903,123.0
01050100702,4.0
01100200708,119.0
01100400402,52.0
01100400214,131.0
01050100804,4.0
01100200707,47.0
01050800108,97.0
01100400103,131.0
01050300105,115.0
01050100713,4.0
01100200902,123.0
01051000603,97.0
01100200706,119.0
01100400305,53.0
01050100803,5.0
01100200514,123.0
01100200705,47.0
01051000507,126.0
01100200901,123.0
01100200704,47.0
01100200214,123.0
01050100712,79.0
01100200213,123.0
01100400501,53.0
01100200513,81.0
01100400213,131.0
01050100802,5.0
01100400212,131.0
01100200212,123.0
01051000506,126.0
01051000505,126.0
01100200512,81.0
01100302414,81.0
01050100303,108.0
01050601110,21.0
01050100104,3.0
01100200407,81.0
01050100302,108.0
01051301205,65.0
01050600908,30.0
01051000201,65.0
01051000109,100.0
01050400804,116.0
01050100103,124.0
01050400709,68.0
01051000108,38.0
01051301104,65.0
01050400511,116.0
01050100203,30.0
01050100202,30.0
01050100301,108.0
01100200403,81.0
01051000107,65.0
01050100201,108.0
01050800116,11.0
01100302413,81.0
01050400103,128.0
01051000106,125.0
01100302212,50.0
01050400102,116.0
01051301204,129.0
01050601007,21.0
01050600907,30.0
01050600906,30.0
01050601904,30.0
01050601903,30.0
01050400510,116.0
01050100102,124.0
01050200304,112.0
01050200301,112.0
01050200210,6.0
01050200107,61.0
01050200209,6.0
01050200208,6.0
01050200106,61.0
01050201008,7.0
01050500206,88.0
01051100202,
01050200711,12.0
01050201007,7.0
01050201006,7.0
01050500205,12.0
01050201102,7.0
01050500204,88.0
01050500203,12.0
01051100201,
01050200907,12.0
01050201101,7.0
01050500202,12.0
01050200105,61.0
01050200303,6.0
01050200207,6.0
01050200104,6.0
01050200206,6.0
01050200401,62.0
01050200205,6.0
01050200204,6.0
01050200806,7.0
01050200701,12.0
01050200508,12.0
01050200906,12.0
01050201004,7.0
01050500201,12.0
01050500101,12.0
01050200805,7.0
01050200804,7.0
01050200710,12.0
01050201003,7.0
01050201002,7.0
01050201001,7.0
01050200803,7.0
01050200905,8.0
01050200302,112.0
01050200103,61.0
01050200102,61.0
01100200801,46.0
01100200309,119.0
01100200308,119.0
01100200307,119.0
01050100308,79.0
01050400110,117.0
01100200203,81.0
01100200202,81.0
01050400810,96.0
01100200701,119.0
01050100412,5.0
01050400809,116.0
01100200609,81.0
01050100711,79.0
01100200702,119.0
01050100615,5.0
01100400208,131.0
01100400102,131.0
01051000504,126.0
01051000602,126.0
01050300104,99.0
01050100614,5.0
01050100710,79.0
01100200211,81.0
01051000503,126.0
01050100801,5.0
01100200210,81.0
01100200511,81.0
01050800110,97.0
01050800107,97.0
01051000502,126.0
01050100316,79.0
01100200510,81.0
01100200703,47.0
01050400708,116.0
01050601806,30.0
01050100101,30.0
01100200405,81.0
01051301103,65.0
01051301012,11.0
01100200406,81.0
01100302408,50.0
01100302407,50.0
01050601702,30.0
01050400506,116.0
01100302210,50.0
01051300806,129.0
01050601902,30.0
01051000102,23.0
01050601805,30.0
01050400707,116.0
01051000105,125.0
01100302412,50.0
01100302211,81.0
01051000104,65.0
01050700103,93.0
01050700107,74.0
01050700120,94.0
01050700106,93.0
01050700105,73.0
01050700109,94.0
01050700108,94.0
01050700104,93.0
01051000308,21.0
01050100603,5.0
01100200803,119.0
01050100314,79.0
01050100313,79.0
01050100602,5.0
01051000404,39.0
01100400206,131.0
01050100312,79.0
01100200206,81.0
01050800103,97.0
01100200312,119.0
01100200205,81.0
01100200802,119.0
01100400302,79.0
01100200311,119.0
01050100513,5.0
01100200310,119.0
01100200508,81.0
01100200608,81.0
01050100307,1.0
01050100503,1.0
01051000402,65.0
01050100410,5.0
01051000207,21.0
01050400109,117.0
01100200504,81.0
01050100306,79.0
01050100409,5.0
01050400108,117.0
01100200306,119.0
01100200607,81.0
01050100408,5.0
01100200503,81.0
01100200606,81.0
01050100305,79.0
01100200605,81.0
01050400808,68.0
01050100407,21.0
01100200604,81.0
01051301208,65.0
01100200505,81.0
01050100411,5.0
01051100217,
01051100133,
01050500602,17.0
01051100132,
01051100131,
01051100130,
01051100129,
01050500305,15.0
01050500304,15.0
01051100128,
01051100216,
01051100127,
01051100126,
01050500109,20.0
01050500108,20.0
01050500601,17.0
01050500515,17.0
01051100125,
01051100124,
01051100123,
01050500403,84.0
01051100122,
01051100121,
01051100215,
01051100214,
01050500303,15.0
01050500302,15.0
01051100120,
01051100119,
01050500107,15.0
01051100118,
01051100117,
01051100212,
01051100116,
01051100211,
01051100115,
01051100114,
01050500402,15.0
01051100213,
01050500106,20.0
01051100113,
01051100112,
01051100111,
01051100110,
01051100109,
01051100108,
01050500401,84.0
01051100107,
01051100210,
01050200311,62.0
01050200405,62.0
01050700216,74.0
01050700215,74.0
01050700214,74.0
01050700213,74.0
01050100613,5.0
01050800105,97.0
01050100612,5.0
01050300103,99.0
01050800104,97.0
01100200809,47.0
01100200808,119.0
01050100611,5.0
01100200509,81.0
01100200807,119.0
01100400304,79.0
01050100709,4.0
01050100610,5.0
01050100708,79.0
01051000601,65.0
01050800201,96.0
01100400303,53.0
01050300124,99.0
01051301209,65.0
01050100609,5.0
01100200209,81.0
01050100608,5.0
01050100607,5.0
01100200507,81.0
01050100415,5.0
01050100505,79.0
01100200204,81.0
01050300101,99.0
01050800102,96.0
01050800101,97.0
01100200506,81.0
01050100311,79.0
