BGRI11;BGRI11_M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_AfterLABEL1
01050800401;126;20830_
01050800402;36;10374_10375_18640_18643_18645_
01050800403;36;10374_10375_18640_18643_18645_
01050800405;36;10374_10375_18640_18643_18645_
01050800406;70;18497_
01050800408;126;20830_
01050800410;70;18497_
01050800411;70;18497_
01050800501;36;10374_10375_18640_18643_18645_
01050800502;34;10371_
01050800503;70;18497_
01050800505;70;18497_
01050800508;35;10372_
01050800509;35;10372_
01050800510;72;18499_
01050800512;95;18641_
01050800513;72;18499_
01050800514;70;18497_
01050800601;35;10372_
01050800602;35;10372_
01050800603;35;10372_
01050800604;35;10372_
01050800606;35;10372_
01050800607;4;10335_
01050800608;126;20830_
01050800609;2;10333_10373_
01050800610;2;10333_10373_
01050800611;2;10333_10373_
01050800612;2;10333_10373_
01050800614;2;10333_10373_
01050800615;2;10333_10373_
01050800616;33;10370_
01050800701;35;10372_
01050800702;33;10370_
01050800703;33;10370_
01050800704;2;10333_10373_
01050800705;2;10333_10373_
01050800706;2;10333_10373_
01050800707;2;10333_10373_
01050800708;2;10333_10373_
01050800709;2;10333_10373_
01050800710;2;10333_10373_
01050800711;2;10333_10373_
01050900103;99;18647_
01050900104;99;18647_
01050900106;99;18647_
01050900107;99;18647_
01050900108;99;18647_
01050900109;99;18647_
01050900110;127;20831_
01050900111;127;20831_
01050900112;99;18647_
01050900115;127;20831_
01050900116;99;18647_
01050900201;70;18497_
01050900202;70;18497_
01050900203;69;18496_
01050900204;127;20831_
01050900205;98;18646_
01050900206;98;18646_
01050900207;98;18646_
01050900209;98;18646_
01050900210;98;18646_
01050900211;98;18646_
01050900212;98;18646_
01050900214;98;18646_
01050900215;98;18646_
01050900216;98;18646_
01050900217;127;20831_
01050900218;70;18497_
01050900219;98;18646_
01051000102;23;10357_
01051000103;23;10357_
01051000104;65;18492_
01051000105;65;18492_
01051000106;125;20827_
01051000108;38;10380_
01051000109;100;18649_
01051000110;100;18649_
01051000111;38;10380_
01051000112;100;18649_
01051000113;100;18649_
01051000201;65;18492_
01051000202;38;10380_
01051000203;38;10380_
01051000204;65;18492_
01051000205;100;18649_
01051000206;13;10345_
01051000207;21;10355_10381_
01051000301;21;10355_10381_
01051000302;21;10355_10381_
01051000303;21;10355_10381_
01051000304;21;10355_10381_
01051000305;21;10355_10381_
01051000306;21;10355_10381_
01051000307;21;10355_10381_
01051000308;21;10355_10381_
01051000309;21;10355_10381_
01051000401;65;18492_
01051000402;65;18492_
01051000403;39;10382_18648_18650_
01051000404;39;10382_18648_18650_
01051000405;65;18492_
01051000501;21;10355_10381_
01051000502;21;10355_10381_
01051000503;126;20830_
01051000504;126;20830_
01051000505;126;20830_
01051000506;126;20830_
01051000507;126;20830_
01051000508;126;20830_
01051000509;4;10335_
01051000510;126;20830_
01051000511;126;20830_
01051000512;126;20830_
01051000601;65;18492_
01051000602;65;18492_
01051000603;97;18644_
01051000604;126;20830_
01051000605;126;20830_
01051000606;126;20830_
01051000607;126;20830_
01051000608;126;20830_
01051200101;101;18651_
01051200103;101;18651_
01051200104;101;18651_
01051200105;41;10384_
01051200106;41;10384_
01051200107;101;18651_
01051200108;41;10384_
01051200109;41;10384_
01051200110;101;18651_
01051200111;41;10384_
01051200112;40;10383_
01051200114;101;18651_
01051200201;86;18627_18653_
01051200202;86;18627_18653_
01051200203;101;18651_
01051200204;101;18651_
01051200205;101;18651_
01051200206;101;18651_
01051200207;107;18661_
01051200208;86;18627_18653_
01051200301;86;18627_18653_
01051200302;86;18627_18653_
01051200303;86;18627_18653_
01051200304;86;18627_18653_
01051200401;101;18651_
01051200402;107;18661_
01051200403;101;18651_
01051200404;101;18651_
01051200405;107;18661_
01051200406;107;18661_
01051200501;101;18651_
01051200502;101;18651_
01051200503;101;18651_
01051200504;101;18651_
01051200505;101;18651_
01051200506;101;18651_
01051200508;101;18651_
01051200509;101;18651_
01051200510;101;18651_
01051200511;101;18651_
01051200601;107;18661_
01051200602;107;18661_
01051200603;107;18661_
01051200604;107;18661_
01051200606;107;18661_
01051200701;107;18661_
01051200702;107;18661_
01051200801;107;18661_
01051200802;107;18661_
01051200901;45;10389_
01051200902;43;10386_
01051200903;45;10389_
01051200904;45;10389_
01051200905;43;10386_
01051200906;45;10389_
01051200907;45;10389_
01051200908;45;10389_
01051200909;45;10389_
01051201001;86;18627_18653_
01051201003;43;10386_
01051201004;43;10386_
01051201005;43;10386_
01051201006;43;10386_
01051201101;101;18651_
01051201102;101;18651_
01051201103;107;18661_
01051201104;106;18660_
01051201106;106;18660_
01051201107;106;18660_
01051201108;106;18660_
01051201201;42;10385_
01051201202;42;10385_
01051201203;107;18661_
01051201204;42;10385_
01051201301;41;10384_
01051201303;102;18652_
01051201304;41;10384_
01051201305;41;10384_
01051201306;41;10384_
01051201307;41;10384_
01051201308;41;10384_
01051201309;41;10384_
01051201310;41;10384_
01051201311;41;10384_
01051201312;41;10384_
01051201314;41;10384_
01051201315;41;10384_
01051201316;41;10384_
01051201317;109;18667_
01051201318;41;10384_
01051201319;41;10384_
01051201401;40;10383_
01051201404;40;10383_
01051201406;40;10383_
01051201407;40;10383_
01051201408;40;10383_
01051201411;40;10383_
01051201412;40;10383_
01051201413;40;10383_
01051201414;40;10383_
01051201415;40;10383_
01051201416;40;10383_
01051201417;102;18652_
01051201418;40;10383_
01051201419;40;10383_
01051201420;40;10383_
01051201421;40;10383_
01051201422;40;10383_
01051201501;41;10384_
01051201502;41;10384_
01051201503;41;10384_
01051201504;41;10384_
01051201505;41;10384_
01051201506;41;10384_
01051201507;109;18667_
01051201601;42;10385_
01051201602;103;18655_
01051201603;103;18655_
01051201604;109;18667_
01051201701;43;10386_
01051201702;43;10386_
01051201703;43;10386_
01051201704;43;10386_
01051201705;45;10389_
01051201706;45;10389_
01051201707;45;10389_
01051201801;45;10389_
01051201802;45;10389_
01051201803;43;10386_
01051201804;45;10389_
01051201806;45;10389_
01051201807;45;10389_
01051201809;45;10389_
01051201810;45;10389_
01051201812;45;10389_
01051201813;45;10389_
01051300101;91;18634_
01051300102;91;18634_
01051300104;66;18493_
01051300201;60;18485_
01051300202;66;18493_
01051300203;60;18485_
01051300204;60;18485_
01051300205;66;18493_
01051300206;60;18485_
01051300207;66;18493_
01051300208;60;18485_
01051300210;66;18493_
01051300301;63;18490_
01051300302;63;18490_
01051300303;64;18491_20836_
01051300304;64;18491_20836_
01051300305;64;18491_20836_
01051300401;16;10348_10378_
01051300402;90;18633_
01051300403;16;10348_10378_
01051300404;16;10348_10378_
01051300405;90;18633_
01051300407;66;18493_
01051300408;16;10348_10378_
01051300409;16;10348_10378_
01051300411;16;10348_10378_
01051300501;60;18485_
01051300502;90;18633_
01051300503;66;18493_
01051300504;66;18493_
01051300505;66;18493_
01051300506;90;18633_
01051300507;66;18493_
01051300508;66;18493_
01051300601;91;18634_
01051300602;64;18491_20836_
01051300603;66;18493_
01051300604;64;18491_20836_
01051300605;67;18494_
01051300606;64;18491_20836_
01051300607;64;18491_20836_
01051300608;64;18491_20836_
01051300701;90;18633_
01051300702;90;18633_
01051300703;90;18633_
01051300704;90;18633_
01051300705;90;18633_
01051300706;90;18633_
01051300707;9;10341_10349_
01051300709;130;20835_
01051300710;130;20835_
01051300711;130;20835_
01051300801;66;18493_
01051300802;90;18633_
01051300803;67;18494_
01051300804;67;18494_
01051300805;67;18494_
01051300806;65;18492_
01051300901;64;18491_20836_
01051300902;37;10377_
01051300903;37;10377_
01051300904;37;10377_
01051300905;37;10377_
01051300906;65;18492_
01051301001;11;10343_10351_10376_
01051301002;130;20835_
01051301003;130;20835_
01051301004;130;20835_
01051301005;130;20835_
01051301006;11;10343_10351_10376_
01051301007;11;10343_10351_10376_
01051301008;11;10343_10351_10376_
01051301009;11;10343_10351_10376_
01051301010;11;10343_10351_10376_
01051301011;11;10343_10351_10376_
01051301012;11;10343_10351_10376_
01051301013;11;10343_10351_10376_
01051301014;11;10343_10351_10376_
01051301101;67;18494_
01051301102;67;18494_
01051301103;65;18492_
01051301105;65;18492_
01051301201;130;20835_
01051301202;129;20834_
01051301203;129;20834_
01051301204;129;20834_
01051301205;129;20834_
01051301206;129;20834_
01051301207;65;18492_
01051301208;65;18492_
01051301209;97;18644_
01051400101;70;18497_
01051400102;70;18497_
01051400103;72;18499_
01051400104;72;18499_
01051400105;32;10369_
01051400106;72;18499_
01051400107;32;10369_
01051400108;70;18497_
01051400109;32;10369_
01051400110;32;10369_
01051400111;32;10369_
01051400112;32;10369_
01051400113;72;18499_
01051400114;98;18646_
01051400115;32;10369_
01051400116;32;10369_
01051400118;32;10369_
01051400201;33;10370_
01051400202;35;10372_
01051400203;72;18499_
01051400204;72;18499_
01051400205;35;10372_
01051400206;72;18499_
01051400207;35;10372_
01051400208;72;18499_
01051400210;35;10372_
01051400211;72;18499_
01051400212;72;18499_
01051400213;73;18500_18637_
01051400214;94;18638_
01051400215;73;18500_18637_
01051400301;35;10372_
01051400302;72;18499_
01051400303;72;18499_
01051400304;72;18499_
01051400305;72;18499_
01051400306;72;18499_
01051400307;72;18499_
01051400308;72;18499_
01051400309;72;18499_
01051400310;32;10369_
01051400311;72;18499_
01051400312;32;10369_
01051400313;72;18499_
01051400314;72;18499_
01051400315;72;18499_
01051400316;98;18646_
01100100101;120;18682_
01100100102;123;18687_
01100100104;123;18687_
01100100105;123;18687_
01100100106;123;18687_
01100100107;123;18687_
01100100109;123;18687_
01100100111;123;18687_
01100100112;123;18687_
01100100113;123;18687_
01100100114;123;18687_
01100100115;123;18687_
01100100117;123;18687_
01100100201;123;18687_
01100100202;123;18687_
01100100203;123;18687_
01100100205;123;18687_
01100100206;123;18687_
01100100207;123;18687_
01100100208;123;18687_
01100100209;123;18687_
01100100210;123;18687_
01100100211;123;18687_
01100100212;123;18687_
01100100213;123;18687_
01100100214;123;18687_
01100100215;123;18687_
01100100216;123;18687_
01100100217;123;18687_
01100100218;123;18687_
01100100219;123;18687_
01100100220;123;18687_
01100100221;123;18687_
01100100222;123;18687_
01100200101;122;18686_
01100200102;49;11641_
01100200103;122;18686_
01100200104;122;18686_
01100200105;81;18508_
01100200106;81;18508_
01100200108;122;18686_
01100200109;122;18686_
01100200110;122;18686_
01100200111;81;18508_
01100200112;81;18508_
01100200201;81;18508_
01100200202;81;18508_
01100200204;81;18508_
01100200205;81;18508_
01100200206;81;18508_
01100200208;81;18508_
01100200209;81;18508_
01100200210;81;18508_
01100200211;123;18687_
01100200212;81;18508_
01100200213;123;18687_
01100200215;123;18687_
01100200216;123;18687_
01100200217;81;18508_
