Zone_ID;Zone_ID_Name;geocod_query;location;point;Lat;Lon;geometry;Lat_ETRS89;Lon_ETRS89;CLOSE_NODE;0;1;2;3;4;jointly_zones;ZONE_CS_newID_132Z;ZONE_CS_newID_132Z_CAT;ZONE_CS_newID_132Z_CATint;M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_133Z_correcao;ZONE_CS_133Z_correcao_2
18660;Segurança Social;Segurança Social, Vera Cruz, Aveiro, Portugal;R. de Alberto Soares Machado, ISS, IP/CDist de Aveiro/Serviço Informativo da Sede, 3804-504 Aveiro, Portugal;(40.6440904, -8.648672699999999);40.6440904;-8.648672699999999;POINT (-43609.68480714282 108481.89235078263);108481.89235078263;-43609.68480714282;402741790;18660.0;;;;;[18660];18660;106;106;;;18660_
18661;Sá Barrocas ;Sá Barrocas , Vera Cruz, Aveiro, Portugal;Av. da Força Aérea Portuguesa nº58, 3800-356 Aveiro, Portugal;(40.647498, -8.644453000000002);40.647498;-8.644453000000002;POINT (-43250.554648110236 108858.21514956713);108858.21514956713;-43250.554648110236;4846324395;18661.0;;;;;[18661];18661;107;107;;;18661_
18662;Pontes;Pontes, Vera Cruz, Aveiro, Portugal;Vera Cruz, Portugal;(40.6478555, -8.6625223);40.6478555;-8.6625223;POINT (-44778.65978892002 108906.95708473572);108906.95708473572;-44778.65978892002;1931196527;10388.0;18654.0;18662.0;;;[10388, 18654, 18662];10388_18654_18662;44;44;;;10388_18654_18662_
18664;Crasto;Crasto, Glória, Aveiro, Portugal;R. do Crasto, 3810-193, Portugal;(40.6253105, -8.6611198);40.6253105;-8.6611198;POINT (-44675.059731541136 106402.67549519846);106402.67549519846;-44675.059731541136;7624133996;18664.0;;;;;[18664];18664;108;108;;;18664_
18665;Baixa de Sto. António;Baixa de Sto. António, Glória, Aveiro, Portugal;Glória, 3810, Portugal;(40.6364589, -8.6573084);40.6364589;-8.6573084;POINT (-44345.19987868441 107638.74932536572);107638.74932536572;-44345.19987868441;4966381641;10363.0;10365.0;18665.0;18666.0;18669.0;[10363, 10365, 18665, 18666, 18669];10363_10365_18665_18666_18669;28;28;;;10363_10365_18665_18666_18669_
18666;Chave;Chave, Glória, Aveiro, Portugal;Glória, 3810, Portugal;(40.6364589, -8.6573084);40.6364589;-8.6573084;POINT (-44345.19987868441 107638.74932536572);107638.74932536572;-44345.19987868441;4966381641;10363.0;10365.0;18665.0;18666.0;18669.0;[10363, 10365, 18665, 18666, 18669];10363_10365_18665_18666_18669;28;28;;;10363_10365_18665_18666_18669_
18667;Forum;Forum, Glória, Aveiro, Portugal;R. do Batalhão de Caçadores 10 Store 2.2a, 3810-064 Aveiro, Portugal;(40.6409327, -8.6518787);40.6409327;-8.6518787;POINT (-43882.93763845503 108132.83144612712);108132.83144612712;-43882.93763845503;1799585702;18667.0;;;;;[18667];18667;109;109;;;18667_
18668;Banda Amizade;Banda Amizade, Glória, Aveiro, Portugal;Largo do Conselheiro Queiroz 13, 3810-090 Aveiro, Portugal;(40.639249, -8.657115);40.639249;-8.657115;POINT (-44326.99342613206 107948.48584674152);107948.48584674152;-44326.99342613206;5237764394;18668.0;;;;;[18668];18668;110;110;;;18668_
18669;Goul;Goul, Glória, Aveiro, Portugal;Glória, 3810, Portugal;(40.6364589, -8.6573084);40.6364589;-8.6573084;POINT (-44345.19987868441 107638.74932536572);107638.74932536572;-44345.19987868441;4966381641;10363.0;10365.0;18665.0;18666.0;18669.0;[10363, 10365, 18665, 18666, 18669];10363_10365_18665_18666_18669;28;28;;;10363_10365_18665_18666_18669_
18670;5 Bicas;5 Bicas, Glória, Aveiro, Portugal;R. Eça de Queiroz 34, 3810-109 Aveiro, Portugal;(40.6379173, -8.650948099999999);40.6379173;-8.650948099999999;POINT (-43806.18872231966 107797.51456161687);107797.51456161687;-43806.18872231966;1487627577;18670.0;;;;;[18670];18670;111;111;;;18670_
18672;Aradas;Aradas, Aradas, Aveiro, Portugal;Aradas, 3810, Portugal;(40.6189697, -8.6427851);40.6189697;-8.6427851;POINT (-43127.83214201006 105689.3998596477);105689.3998596477;-43127.83214201006;503706174;10336.0;18672.0;;;;[10336, 18672];10336_18672;5;5;;;10336_18672_
18673;Cacia;Cacia, Cacia, Aveiro, Portugal;Cacia, 3800-536 Cacia, Portugal;(40.685815, -8.59661);40.685815;-8.59661;POINT (-39181.45219242164 113090.81686133865);113090.81686133865;-39181.45219242164;1710143997;18673.0;18675.0;;;;[18673, 18675];18673_18675;112;112;;;18673_18675_
18674;Cabeço;Cabeço, Cacia, Aveiro, Portugal;Cabeço, 3800-553 Cacia, Portugal;(40.6816244, -8.6291241);40.6816244;-8.6291241;POINT (-41932.621650074085 112640.46109229376);112640.46109229376;-41932.621650074085;1705788243;18674.0;;;;;[18674];18674;113;113;;;18674_
